=== POST METADATA ===
Post URL,https://www.instagram.com/reel/CZze5EshBlQ/?utm_source=ig_web_copy_link&igsh=NTc4MTIwNjQ2YQ==
Post Type,reel
Post Caption,"155K likes, 1,018 comments - doobydobap on February 10, 2022: ""247 or 95?

Spam Kimchi Fried Rice 
½ can spam
2 cups day old rice 
1 cup fermented kimchi 
devan_the_introvert,I stress out 24/7 trying to figure this out. So much so I attempted to off myself. I’m still confused as to how people figure out what they wanna do.,0
zzzznao,is this bokkuembap?,0
bartbenton,I believe that mental freedom from your job once you punch out of work cannot be understated. Until you are substantially secure running your own business your work is scattered throughout every day most of the time. Decisions decisions. I think the answer is to do what you are good at for work and have your passion/ hobby be what brings you pure bliss and never make it more than that unless an unavoidable opportunity comes along.,0
13milespergallon,@sindatuk94,0
@sindatuk94,13milespergallon,0
davy_baby,We all built different! ❤️,0
foodieandflora,@bbbecky44 yoooo,0
@bbbecky44,@bbbecky44 yoooo,0
tonyeanyanwu,"Correction, Garyvee says focus on what you love and explore until you find your path. He never says work until you collapse.",0
vinstrument,Lol I was surprise you drank San Miguel Beer lol,0
dianaarous,"I really like what u said, a lot of 247s keep saying how daunting 95 is and how somehow it is below them, when it's in fact a place of security for those people and their families.",0
beezyrightnow,Gracias por la receta,0
rude.boy.23,Great discussion. I’d rather work at a job that I’m passionate about and I do. It’s a balance though and there many forms of compensation if that makes sense. I can expound.,0
punzy_wunzy,Will you be my valentine 🥺,0
randomrushgirl,"i love this perspective. i have a 9-5 (well not really, my hours are flexible) job and several hobbies i’m passionate about. it’s the most standard desk job with lots of research work but i love it. i’ve had people ask me why i don’t make one of my hobbies a full time job because i’m good at it and if i were serious, it would pay me well. that’s a great compliment but along with the actual work i do, i love the stability and culture of learning that comes with my job. i can definitely see myself converting to pursue my hobbies but honestly, i feel i’d start hating it because of the cons of the pursuing it. if i’d try that, i know i’ll miss coding and debugging programs while cracking programming jokes with my colleagues. so let’s see. it’s never too late to start anything 🥰",0
aysha.tan,sasageyo,0
jhn.robie,Dooooobyyyyy 😍🖤,0
paulbae,what happened to your finger?,0
jiaoira,Lezgo san miguel!,0
bernice76,This method of cutting kimchi in the pyrex cup is damn genius,0
spoonfoundfood,I just bought some spam becoz of this video to make kimchi fried rice 👏,0
leafing_about,I’ve heard about this… Apparently working 9-5 provides a sense of social value and camaraderie that you don’t get from working unconventional hours.,0
ieco,@lil_kimchii want,0
@lil_kimchii,@lil_kimchii want,0
ememsiar,San Miguel Pale Pilsen 👀,0
tupperlita,"It’s crazy how you always nail the topics, i feel we are so close yet I’m literally in the opposite side of the world ✨",0
reginachang74,@anaachoi @biaa.choii e o arroto? 😂,0
@anaachoi,@anaachoi @biaa.choii e o arroto? 😂,0
@biaa.choii,@anaachoi @biaa.choii e o arroto? 😂,0
dppbasstubby,San Miguel 😍!! A+,0
projectlylee,Pilsen!!! @japsendaydiego,0
@japsendaydiego,Pilsen!!! @japsendaydiego,0
brownhunk,Your fried rice recipe makes me wanna have a jar of kimchi around my kitchen thank you 🙏 for being you 😍 #bigfan #doobydobap #youmakemesmile #happyadvancevalentinesday😍,0
epiciscarl,That Pale Pilsen!!! Hahaha!,0
abbyjuantong,Vegan spam fry rice for you @ridaasee,0
@ridaasee,Vegan spam fry rice for you @ridaasee,0
allanclaridad,Love the choice of beer 🙌,0
mikeyfromtheblockk,I love my 9-5. Well technically it's a 4-10...well 2 days WFH...I think I work 2 days a week for six figure income and 5 days to do everything I enjoy.,0
thyme.et.clay,I had to replay the post to make sure I wasn’t hearing things 😂😂😂,0
ttwolee,"you call that thing ""fried rice"" !?😂. What a way to upset the chinese!",0
karpintero,San Miguel!😍,0
rxquackquack,"Hey, San Miguel Beer! I miss that.",0
rae.fausto,You’re drinking pale pilsen from the Philippines !! Ahhhh so love your cooking and vlogs!!!,0
